sample	Nonsynonymous	Synonymous
TCGA-BH-A0BZ-01A-31D-A12Q-09	216	42
TCGA-BH-A0C1-01B-11D-A12B-09	29	12
TCGA-BH-A0C3-01A-21D-A12Q-09	10	5
TCGA-BH-A0C7-01B-11D-A10Y-09	40	14
TCGA-BH-A0DE-01A-11D-A10Y-09	25	5
TCGA-BH-A0DH-01A-11D-A099-09	34	7
TCGA-BH-A0DI-01A-21D-A12Q-09	30	7
TCGA-BH-A0DL-01A-11D-A10Y-09	40	9
TCGA-BH-A0DO-01B-11D-A12B-09	20	6
TCGA-BH-A0DQ-01A-11D-A099-09	31	4
TCGA-BH-A0DT-01A-21D-A12B-09	13	1
TCGA-BH-A0DV-01A-21D-A12Q-09	10	2
TCGA-BH-A0DX-01A-11D-A10Y-09	49	12
TCGA-BH-A0E9-01B-11D-A10Y-09	26	2
TCGA-BH-A0EA-01A-11D-A10Y-09	20	4
TCGA-BH-A0EI-01A-11D-A10Y-09	17	3
TCGA-BH-A0H3-01A-11D-A12Q-09	12	3
TCGA-BH-A0H5-01A-21D-A10Y-09	100	31
TCGA-BH-A0HA-01A-11D-A12Q-09	268	66
TCGA-BH-A0HI-01A-11D-A099-09	27	3
TCGA-BH-A0HN-01A-11D-A099-09	26	9
TCGA-BH-A0HP-01A-12D-A099-09	194	70
TCGA-BH-A0RX-01A-21D-A099-09	35	9
TCGA-BH-A0W3-01A-11D-A10G-09	10	9
TCGA-BH-A0W4-01A-11D-A10G-09	26	5
TCGA-BH-A0W5-01A-11D-A10G-09	23	3
TCGA-BH-A0W7-01A-11D-A10Y-09	143	66
TCGA-BH-A0WA-01A-11D-A10G-09	84	19
TCGA-BH-A18F-01A-11D-A12B-09	37	12
TCGA-BH-A18G-01A-11D-A12B-09	1009	321
TCGA-BH-A18H-01A-11D-A12B-09	40	8
TCGA-BH-A18I-01A-11D-A12B-09	22	3
TCGA-BH-A18J-01A-11D-A12B-09	65	16
TCGA-BH-A18K-01A-11D-A12B-09	45	15
TCGA-BH-A18L-01A-32D-A12B-09	33	15
TCGA-BH-A18M-01A-11D-A12B-09	10	2
TCGA-BH-A18N-01A-11D-A12B-09	28	12
TCGA-BH-A18P-01A-11D-A12B-09	224	91
TCGA-BH-A18Q-01A-12D-A12B-09	62	26
TCGA-BH-A18R-01A-11D-A12B-09	25	9
TCGA-BH-A18S-01A-11D-A12B-09	20	9
TCGA-BH-A18T-01A-11D-A12B-09	57	19
TCGA-BH-A18U-01A-21D-A12B-09	93	40
TCGA-BH-A1EO-01A-11D-A135-09	31	4
TCGA-BH-A1ET-01A-11D-A135-09	20	5
TCGA-BH-A1EU-01A-11D-A135-09	15	3
TCGA-BH-A1EV-01A-11D-A135-09	68	21
TCGA-BH-A1EW-01A-11D-A135-09	9	1
TCGA-BH-A1EX-01A-11D-A13L-09	14	3
TCGA-BH-A1EY-01A-11D-A13L-09	32	13
TCGA-BH-A1F0-01A-11D-A135-09	50	27
TCGA-BH-A1F2-01A-31D-A13L-09	40	14
TCGA-BH-A1F5-01A-12D-A13L-09	33	10
TCGA-BH-A1F6-01A-11D-A13L-09	32	15
TCGA-BH-A1F8-01A-11D-A13L-09	118	34
TCGA-BH-A1FG-01A-11D-A13L-09	17	5
TCGA-BH-A1FH-01A-12D-A13L-09	18	10
TCGA-BH-A1FJ-01A-11D-A13L-09	18	12
TCGA-BH-A1FL-01A-11D-A13L-09	18	4
TCGA-BH-A1FM-01A-11D-A13L-09	39	13
TCGA-BH-A1FN-01A-11D-A13L-09	83	30
TCGA-BH-A1FR-01A-11D-A13L-09	13	1
TCGA-BH-A1FU-01A-11D-A14G-09	82	19
TCGA-BH-A201-01A-11D-A14K-09	15	3
TCGA-BH-A202-01A-11D-A14K-09	21	4
TCGA-BH-A203-01A-12D-A167-09	54	23
TCGA-BH-A204-01A-11D-A159-09	32	6
TCGA-BH-A208-01A-11D-A159-09	54	15
TCGA-BH-A28Q-01A-11D-A16D-09	17	5
TCGA-BH-A2L8-01A-11D-A18P-09	359	134
TCGA-BH-A6R9-01A-21D-A32I-09	9	3
TCGA-BH-A8FY-01A-11D-A36J-09	33	8
TCGA-BH-A8FZ-01A-11D-A351-09	49	11
